 Classical methods are either pattern-based (CITATION; CITATION; CITATION; CITATION; CITATIONb; CITATION; CITATION; CITATION; CITATION; CITATION; CITATION; CITATION) or classifierbased (e,,
, (CITATIONa; CITATION; CITATION; CITATION; CITATION)),,
, (CITATION; CITATION)),,
, (Shinyama and CITATION; CITATION)),,
 CITATION uses a semantic affinity measure to learn primary and secondary patterns, and the secondary patterns are applied only to event sentences,,
 Most recently, CITATION acquire event words from an external resource, group the event words to form event scenarios, and group extraction patterns for different event roles,,
 PIPER (CITATION; CITATION) learns extraction patterns using a semantic affinity measure, and it distinguishes between primary and secondary patterns and applies them selectively,,
 CITATION (C+J) created an event extraction system by acquiring event words from WordNet CITATION, clustering the event words into different event scenarios, and grouping extraction patterns for different event roles,,
, (CITATIONa; CITATION; CITATION)),,
 The focus of our work is the TIER event extraction model, which is a multi-layered architecture for event extraction CITATION,,
 Classical methods are either pattern-based (CITATION; CITATION; CITATION; CITATION; CITATIONb; CITATION; CITATION; CITATION; CITATION; CITATION; CITATION; CITATION) or classifierbased (e,,
, (CITATIONa; CITATION; CITATION; CITATION; CITATION)),,
, (CITATION; CITATION)),,
, (CITATION; CITATION; CITATION; CITATION)),,
 Classical methods are either pattern-based (CITATION; CITATION; CITATION; CITATION; CITATIONb; CITATION; CITATION; CITATION; CITATION; CITATION; CITATION; CITATION) or classifierbased (e,,
, (CITATIONa; CITATION; CITATION; CITATION; CITATION)),,
, (CITATION; CITATION)),,
 We also use the Stanford NER tagger CITATION to identify Named Entities within the NP,,
 The context features include four words to the left of the NP, four words to the right of the NP, and the lexico-syntactic patterns generated by AutoSlog to capture expressions around the NP (see CITATION for details),,
 Classical methods are either pattern-based (CITATION; CITATION; CITATION; CITATION; CITATIONb; CITATION; CITATION; CITATION; CITATION; CITATION; CITATION; CITATION) or classifierbased (e,,
, (CITATIONa; CITATION; CITATION; CITATION; CITATION)),,
, (CITATION; CITATION)),,
, (CITATION; CITATION; CITATION; CITATION)),,
, (CITATIONa; CITATION; CITATION)),,
 The focus of our work is the TIER event extraction model, which is a multi-layered architecture for event extraction CITATION,,
 Classical methods are either pattern-based (CITATION; CITATION; CITATION; CITATION; CITATIONb; CITATION; CITATION; CITATION; CITATION; CITATION; CITATION; CITATION) or classifierbased (e,,
, (CITATIONa; CITATION; CITATION; CITATION; CITATION)),,
, (CITATION; CITATION)),,
, (CITATIONa; CITATION; CITATION)),,
 The focus of our work is the TIER event extraction model, which is a multi-layered architecture for event extraction CITATION,,
 Classical methods are either pattern-based (CITATION; CITATION; CITATION; CITATION; CITATIONb; CITATION; CITATION; CITATION; CITATION; CITATION; CITATION; CITATION) or classifierbased (e,,
